UniqueID,components,Notes,question,answer_type,choice_0,choice_1,choice_2,choice_3,answer,qID,explanation,in_lesson
198,"145,140",,\(\displaystyle \lim_{x \rightarrow \infty} (1+1/x)^{x^2} \),multi,\(\displaystyle e^2 \),\(\displaystyle e \),\(\displaystyle \infty \),\(\displaystyle 1 \),2,q2224
199,"140,82,10,142,38",,\(\displaystyle \lim_{x \rightarrow \infty} \frac{e^{3x}}{x^2} \),multi,\(\displaystyle 0 \),\(\displaystyle \infty \),\(\displaystyle 3 \),\(\displaystyle 3/2 \),1,q2225
200,"146,80",,\(\displaystyle \lim_{x \rightarrow 3} \frac{x-3}{3x^2 - 13x + 12} \),multi,\(\displaystyle 1/9 \),\(\displaystyle 0 \),\(\displaystyle 1/5 \),\(\displaystyle 3/4 \),2,q2226
201,140,,\(\displaystyle \lim_{x \rightarrow -\infty} \frac{\cos(1/x)}{x} \),multi,\(\displaystyle 1 \),\(\displaystyle \infty \),\(\displaystyle -\infty \),\(\displaystyle 0 \),3,q2227
202,"140,81,10,30,142",,\(\displaystyle \lim_{x \rightarrow 0} \frac{\sin^2 (x)}{x} \),multi,\(\displaystyle 0 \),\(\displaystyle \infty \),\(\displaystyle 1 \),\(\displaystyle -\infty \),0,q2228
203,"140,81,31,144,142",needs more for understanding about limit from left vs limit from right,\(\displaystyle \lim_{x \rightarrow 0^+} \frac{\cos(x) - 1}{x^3} \),multi,\(\displaystyle 0 \),\(\displaystyle -\infty \),\(\displaystyle \infty \),\(\displaystyle 1/6 \),1,q2231
204,"140,82,142",,\(\displaystyle \lim_{x \rightarrow \infty} \frac{x^3 - 1}{2-x} \),multi,\(\displaystyle 3/2 \),\(\displaystyle 0 \),\(\displaystyle -\infty \),\(\displaystyle \infty \),2,q2232
205,"140,30,10,31,142",,\(\displaystyle \lim_{x \rightarrow \pi/2} \frac{\cos(x)}{\sin(2x)} \),multi,\(\displaystyle \infty \),\(\displaystyle 0 \),\(\displaystyle 1/2 \),\(\displaystyle -1/2 \),2,q2233
206,140,,\(\displaystyle \lim_{x \rightarrow 0^+} \frac{x}{\ln(x)} \),multi,\(\displaystyle 0 \),\(\displaystyle 1 \),\(\displaystyle \infty \),\(\displaystyle -\infty \),0,q2234
207,"140,82,142",,\(\displaystyle \lim_{x \rightarrow \infty} \left [ \frac{1+x^2}{2x} \right ] ^{1/2} \),multi,\(\displaystyle 0 \),\(\displaystyle 1 \),\(\displaystyle 1/2 \),\(\displaystyle \infty \),3,q2235
208,"145,140,82,10,36,142",,\(\displaystyle \lim_{x \rightarrow \infty} (1+2x)^{-3/x} \),multi,\(\displaystyle e^2 \),\(\displaystyle \infty \),\(\displaystyle 1 \),\(\displaystyle 2 \),2,q2236
209,"140,81,144,10,38,142",,\(\displaystyle \lim_{x \rightarrow 0} \frac{1-e^{-2x}}{x^2 + 3x} \),multi,\(\displaystyle 2/3 \),\(\displaystyle 1 \),\(\displaystyle \infty \),\(\displaystyle 0 \),0,q2237
210,80,,\(\displaystyle \lim_{x \rightarrow 1} \frac{x^2 - x + 3}{x + 5} \),multi,\(\displaystyle 0 \),\(\displaystyle 1/2 \),\(\displaystyle 2 \),\(\displaystyle \infty \),1,q2238
211,"106,10,30,31,142",,\(\displaystyle \text{Differentiate } f(x) = \sin(2x) \cos(x^2+1) \),multi,\(\displaystyle \cos(2x)\cos(x^2+1) - \sin(2x)\sin(x^2+1) \),\(\displaystyle 2\cos(2x)\cos(x^2+1) - 2x\sin(2x)\sin(x^2+1) \),\(\displaystyle -4x\cos(2x)\sin(x^2+1) \),\(\displaystyle 2\sin(2x)\sin(x^2+1) - 2x\cos(2x)\cos(x^2+1) \),1,q4211
212,"106,10,38,36,142",,\(\displaystyle \text{Differentiate } f(x) = e^{x+1} \ln x. \),multi,\(\displaystyle e^{x+1}( \ln(x) + x^{-1}) \),\(\displaystyle e^{x+1} x^{-1} \),\(\displaystyle e^{x+1} [ (x+1) \ln(x) + x^{-1}] \),\(\displaystyle -e^{x+1} x^{-1} \),0,q4212
213,"106,10,36,32,142",,\(\displaystyle \text{Differentiate } f(x) = \tan(x) \ln(x^2). \),multi,\(\displaystyle 2x^{-1} \sec^2(x) \),\(\displaystyle \sec^2(x)\ln(x^2) + x^{-2}\tan(x) \),\(\displaystyle x^{-2} \sec^2(x) \),\(\displaystyle \sec^2(x)\ln(x^2) + 2x^{-1}\tan(x) \),3,q4213
214,"106,142,31",,"\(\displaystyle \text{If } f(x) = x^4 \cos(x), \text{ what is } f'(\pi/2)? \)",multi,\(\displaystyle \pi^3/2 \),\(\displaystyle \pi^4/16 \),\(\displaystyle -\pi^3/2 \),\(\displaystyle -\pi^4/16 \),3,q4214
215,"106,142",need understanding of working symbolically?,"\(\displaystyle \text{If } f(2) = 4 \text{ and } f'(2) = 1, \text{ find } g'(2) \text{ if } g(x) = 2xf(x). \)",multi,\(\displaystyle 2 \),\(\displaystyle 10 \),\(\displaystyle 12 \),\(\displaystyle 18 \),2,q4215
216,"106,142,30,10",,\(\displaystyle \text{Differentiate } f(x) = 3x^2 \sin(3x). \),multi,\(\displaystyle 6x + 3\cos(3x) \),\(\displaystyle 18x\cos(3x) + 3x^2\sin(3x) \),\(\displaystyle 6x\sin(3x) + 9x^2\cos(3x) \),\(\displaystyle 18x\cos(3x) \),2,q4221
217,"106,10,38,142",,\(\displaystyle \text{Differentiate } f(x) = e^{abx} (ax^b + abx). \),multi,\(\displaystyle abe^{abx} (ax^b + x^{b-1} + abx + 1) \),\(\displaystyle a^2b^2e^{abx}(x^{b-1} + 1) \),\(\displaystyle a^2 b^2 e^{abx} (x^b + x^{b-1} + x + 1) \),\(\displaystyle abe^{abx} (ax^b + abx)(x^{b-1} + 1) \),0,q4222
218,"106,10,142,38",,\(\displaystyle \text{Differentiate } f(x) = x^2 e^{x^2}. \),multi,\(\displaystyle 2xe^{x^2} \),\(\displaystyle 4x^2 e^{x^2} \),\(\displaystyle 2x e^{x^2} (1+x^2) \),\(\displaystyle 4x^2 e^{x^2} (1+x^2) \),2,q4223
219,"106,10,142,38",,"\(\displaystyle \text{If } f(x) = (3x^3 + 3x) e^{3x}, \text{ what is } f'(0)? \)",multi,\(\displaystyle 9 \),\(\displaystyle 3 \),\(\displaystyle 6 \),\(\displaystyle 1 \),1,q4224
220,"106,10,142,31",,"\(\displaystyle \text{If } f(0) = -2 \text{ and } f'(0) = 4, \text{ find } g'(0) \text { if } g(x) = \cos(x + \pi/2) f(x). \)",multi,\(\displaystyle -4 \),\(\displaystyle -2 \),\(\displaystyle 2 \),\(\displaystyle 4 \),2,q4225
221,"106,10,142,38,36",,\(\displaystyle \text{Differentiate } f(x) = e^{-x^2} \ln(x). \),multi,\(\displaystyle -2e^{-x^2} \),\(\displaystyle (x^{-1} - 2x\ln(x)) e^{-x^2} \),\(\displaystyle (x^{-1} - 2x) e^{-x^2} \ln(x) \),\(\displaystyle -2e^{-x^2} \ln(x) \),1,q4231
222,"106,38,31",,\(\displaystyle \text{Differentiate } f(x) = e^x \cos(x). \),multi,\(\displaystyle e^x (\cos(x) + \sin(x)) \),\(\displaystyle e^x \sin(x) \),\(\displaystyle -e^x \sin(x) \),\(\displaystyle e^x (\cos(x) - \sin(x)) \),3,q4232
223,"106,30,31",,\(\displaystyle \text{Differentiate } f(x) = \sin(x) \cos(x). \),multi,\(\displaystyle \cos^2(x) - \sin^2(x) \),\(\displaystyle 1 \),\(\displaystyle \sin^2(x) - \cos^2(x) \),\(\displaystyle \sin(x) - \cos(x) \),0,q4233
224,"106,10,30,142",,"\(\displaystyle \text{If } f(x) = (x^4 + 2x^2 + 4x) \sin(\pi x / 2), \text{ what is } f'(1)? \)",multi,\(\displaystyle 0 \),\(\displaystyle 7\pi/2 \),\(\displaystyle 6\pi \),\(\displaystyle 12 \),3,q4234
225,"106,10,142,38",,"\(\displaystyle \text{If } f(1) = 5 \text{ and } f'(1) = -5, \text{ find } g'(1) \text{ if } g(x) = e^{2x-2} f(x). \)",multi,\(\displaystyle -10 \),\(\displaystyle -5 \),\(\displaystyle 0 \),\(\displaystyle 5 \),3,q4235
226,"108,142",,\(\displaystyle \frac{d}{dx} \left [ \frac{x}{x+1} \right ] = \frac{1}{(x+1)^2} \),multi,True,False in general,,,1,q4320
227,"6,37,10,142",,"\(\displaystyle \int \frac{1}{x^{1/x}} \, dx = \ln | x^{1/2} | + C \)",multi,True,False in general,,,1,q4335
228,"6,10,142",,\(\displaystyle \frac{d}{dx} [3^{-x}] = -3^{-x} \),multi,True,False in general,,,1,q4339
229,80,,\(\displaystyle \lim_{x \rightarrow 0} \frac{x^3}{x+1} = 0 \),multi,True,False in general,,,0,q4348
230,"143,4",,"\(\displaystyle \int x^2\,dx = \frac{x^3}{3} \)",multi,True,False in general,,,1,q4354
231,143,,"\(\displaystyle \int \frac{x^{3/2}}{x^{1/2}}\,dx = \frac{x^2}{2} + C \)",multi,True,False in general,,,0,q4537
232,143,,"\(\displaystyle \int \frac{x^2-1}{x+1}\,dx = \frac{x^2}{2} - x + C \)",multi,True,False in general,,,0,q4546
233,"136,16,142,38",u-substitution seems much easier here...,"\(\displaystyle \text{Evaluate } \int x^2 e^{-x^3} \,dx. \)",multi,\(\displaystyle \frac{-x^3}{9} e^{-x^3}+ C \),\(\displaystyle \frac{-x^3}{3}e^{-x^3} + C \),\(\displaystyle \frac{-1}{9} e^{-x^3} + C \),\(\displaystyle \frac{-1}{3}e^{-x^3} + C \),3,q4611
234,"4,143",,"\(\displaystyle \int x^3\,dx = \frac{x^4}{4} \)",multi,True,False in general,,,1,q4737
235,"143,4",,"\(\displaystyle \int (x^3 - 2)\,dx = \frac{1}{4}x^4 - 2x \)",multi,True,False in general,,,1,q4785
